RBD,NOM_RBD,NOM_COM_RBD,lon,lat,REGION,COD_REGION
322,ESCUELA GENERAL MANUEL BAQUEDANO,ANTOFAGASTA,-70.3855892,-23.6232342,Antofagasta,2
324,ESCUELA FUNDACION MINERA ESCONDIDA,ANTOFAGASTA,-70.3723542,-23.6181111,Antofagasta,2
326,ESCUELA SANTIAGO AMENGUAL B.,ANTOFAGASTA,-70.3786798,-23.6281633,Antofagasta,2
329,INSTITUTO CIENTï¿½FICO EDUCACIONAL JOSï¿½ MAZA SANCHO,ANTOFAGASTA,-70.4099752,-23.6939542,Antofagasta,2
332,ESCUELA GABRIELA MISTRAL,ANTOFAGASTA,-70.3741242,-23.5959901,Antofagasta,2
335,COLEGIO EVANGELICO JOSE LANCASTER,ANTOFAGASTA,-70.388272,-23.6612516,Antofagasta,2
336,LICEO EXPERIMENTAL ARTISTICO-APLICACION,ANTOFAGASTA,-70.4006385,-23.6551588,Antofagasta,2
337,COLEGIO SANTA TERESITA,ANTOFAGASTA,-70.3917311,-23.65042,Antofagasta,2
341,COLEGIO PARTICULAR ADVENTISTA,ANTOFAGASTA,-70.3950042,-23.6329746,Antofagasta,2
342,COLEGIO INGLES SAN JOSE,ANTOFAGASTA,-70.40074,-23.6656463,Antofagasta,2
343,ESCUELA PRESBITERIANA,ANTOFAGASTA,-70.395173,-23.6546853,Antofagasta,2
344,COLEGIO SANTA EMILIA,ANTOFAGASTA,-70.379629,-23.5893002,Antofagasta,2
350,COLEGIO LIDIA MORENO,ANTOFAGASTA,-70.3970313,-23.6565394,Antofagasta,2
355,COLEGIO BINACIONAL CHILENO AMERICANO DE ANTOFAGASTA(EX INS. CHILENO NORTEAMERICANO CULTURA),ANTOFAGASTA,-70.402431,-23.6620028,Antofagasta,2
356,COLEGIO CORAZON DE MARIA,ANTOFAGASTA,-70.3970766,-23.6577702,Antofagasta,2
358,INS. SANTA MARIA,ANTOFAGASTA,-70.3953487,-23.6529424,Antofagasta,2
361,COL. THE ANTOFAGASTA BRITISH SCHOOL,ANTOFAGASTA,-70.4101368,-23.6775672,Antofagasta,2
364,COL. ANTOFAGASTA,ANTOFAGASTA,-70.3975022,-23.6509279,Antofagasta,2
365,COLEGIO EAGLE SCHOOL,ANTOFAGASTA,-70.3922876,-23.6470168,Antofagasta,2
366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),ANTOFAGASTA,-70.396967,-23.6542666,Antofagasta,2
367,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,MEJILLONES,-70.4413045,-23.105631,Antofagasta,2
368,ESCUELA BASICA JULIA HERRERA VARAS,MEJILLONES,-70.4473407,-23.103907,Antofagasta,2
369,ESCUELA LUCILA GODOY ALCAYAGA,MEJILLONES,-71.2991172,-29.9736471,Antofagasta,2
370,ESCUELA ESTACION BAQUEDANO,SIERRA GORDA,-69.8453973,-23.3352438,Antofagasta,2
371,ESCUELA CARACOLES,SIERRA GORDA,-69.3201906,-22.8914188,Antofagasta,2
372,LICEO POLITECNICO JOSE MIGUEL QUIROZ,TALTAL,-70.4747844,-25.4023251,Antofagasta,2
373,LICEO JUAN CORTES-MONROY CORTES,TALTAL,-70.4849194,-25.4069364,Antofagasta,2
374,ESCUELA HOGAR VICTORIANO QUINTEROS SOTO,TALTAL,-70.4803027,-25.406494,Antofagasta,2
375,ESCUELA VICTOR CARVAJAL MEZA,TALTAL,-70.4876876,-25.4070342,Antofagasta,2
377,ESCUELA PARANAL,TALTAL,-70.4038889,-24.6272222,Antofagasta,2
379,LICEO FEDERICO VARELA,CHAÑARAL,-70.6155946,-26.3454489,Atacama,3
380,ESCUELA BASICA DIEGO PORTALES PALAZUELOS,CHAÑARAL,-70.6163631,-26.3400622,Atacama,3
381,ESCUELA BASICA PEDRO LUJAN,CHAÑARAL,-70.6163631,-26.3400622,Atacama,3
382,ESCUELA BASICA GASPAR CABRALES,CHAÑARAL,-70.6430571,-26.3620591,Atacama,3
384,LICEO MANUEL MAGALHAES MEDLING,DIEGO DE ALMAGRO,-70.055599,-26.3929906,Atacama,3
386,ESCUELA ALIRO LAMAS CASTILLO,DIEGO DE ALMAGRO,-70.0457262,-26.3879353,Atacama,3
387,ESC. BASICA EMPERATRIZ SEPULVEDA LANDEROS,DIEGO DE ALMAGRO,-75.7506114,39.6779504,Atacama,3
390,ESCUELA COEDUCACIONAL PARTICULAR,DIEGO DE ALMAGRO,-70.6742837,-33.4387773,Atacama,3
392,LICEO DIEGO DE ALMEIDA,DIEGO DE ALMAGRO,-69.6264832,-26.249551,Atacama,3
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ,COPIAPO,-70.3345114,-27.3639791,Atacama,3
397,LICEO Tï¿½CNICO PROFESIONAL EDWIN LATORRE RIVERO,COPIAPO,-70.3321587,-27.3665763,Atacama,3
399,LICEO JOSE ANTONIO CARVAJAL,COPIAPO,-70.3275415,-27.3743388,Atacama,3
400,LICEO MERCEDES FRITIS MACKENNEY,COPIAPO,-70.32537,-27.36962,Atacama,3
401,ESCUELA BERNARDO O HIGGINS,COPIAPO,-70.3292632,-27.3625725,Atacama,3
403,ESCUELA LAURA ROBLES SILVA,COPIAPO,-70.3061251,-27.373666,Atacama,3
405,ESCUELA LOS ESTANDARTES,COPIAPO,-70.3133966,-27.3697582,Atacama,3
406,ESCUELA VICENTE SEPULVEDA ROJO,COPIAPO,-70.3225486,-27.3564429,Atacama,3
407,ESCUELA JESUS FERNANDEZ HIDALGO,COPIAPO,-70.337874,-27.375051,Atacama,3
408,ESCUELA PEDRO LEON GALLO,COPIAPO,-70.3243417,-27.3616489,Atacama,3
410,ESCUELA JOSE MANSO DE VELASCO,COPIAPO,-70.318583,-27.363224,Atacama,3
411,ESCUELA LAS CANTERAS,COPIAPO,-70.3202318,-27.3703892,Atacama,3
413,ESCUELA LAS BRISAS,COPIAPO,-70.3311156,-27.3557636,Atacama,3
415,LICEO DE MUSICA,COPIAPO,-70.3280611,-27.374038,Atacama,3
416,ESCUELA ABRAHAM SEPULVEDA PIZARRO,COPIAPO,-70.3465684,-27.3577861,Atacama,3
